mode,partitions,post_cut_events,ttr_s,restore_ms,replay_s,replay_events,inflight,snapshot_bytes,sst_files,inc_files,snapshot_id
baseline,4,50000,0.204,61,0.143,45000,0,158065,6,0,2025-11-30T07:12:38Z
baseline,4,100000,0.249,63,0.186,99000,0,158272,6,0,2025-11-30T07:14:02Z
baseline,4,300000,0.455,58,0.397,297000,0,158181,6,0,2025-11-30T07:15:26Z
baseline,4,1000000,0.673,61,0.612,492000,0,158170,6,0,2025-11-30T07:16:50Z
baseline,8,50000,0.195,60,0.135,45000,0,159009,6,0,2025-11-30T07:23:27Z
baseline,8,100000,0.24,60,0.18,99000,0,159161,6,0,2025-11-30T07:24:53Z
baseline,8,300000,0.433,68,0.365,297000,0,159146,6,0,2025-11-30T07:26:18Z
baseline,8,1000000,0.732,66,0.666,492000,0,397853,6,0,2025-11-30T07:27:48Z
baseline,12,50000,0.197,69,0.128,45000,0,160895,6,0,2025-11-30T07:34:26Z
baseline,12,100000,0.238,61,0.177,99000,0,160917,6,0,2025-11-30T07:35:51Z
baseline,12,300000,0.441,62,0.379,297000,0,160833,6,0,2025-11-30T07:37:16Z
baseline,12,1000000,0.6439999999999999,62,0.582,492000,0,160903,6,0,2025-11-30T07:38:42Z
