mode,partitions,post_cut_events,ttr_s,restore_ms,replay_s,replay_events,inflight,snapshot_bytes,sst_files,inc_files,snapshot_id
recovery,4,50000,2.303,2303,0,0,50000,242250,10,6,2025-11-30T09:02:19Z
recovery,4,100000,1.717,1717,0,0,50000,241946,10,6,2025-11-30T09:03:20Z
recovery,4,300000,2.372,2372,0,0,50000,242098,10,6,2025-11-30T09:04:20Z
recovery,4,1000000,1.745,1745,0,0,50000,242098,10,6,2025-11-30T09:05:25Z
recovery,8,50000,0.8580000000000001,812,0.046,0,50000,241543,9,6,2025-11-30T09:06:25Z
recovery,8,100000,1.014,955,0.059,0,50000,242151,9,6,2025-11-30T09:07:20Z
recovery,8,300000,0.889,831,0.058,0,50000,242303,9,6,2025-11-30T09:08:16Z
recovery,8,1000000,0.8530000000000001,796,0.057,0,50000,241847,9,6,2025-11-30T09:09:07Z
recovery,12,50000,0.23500000000000001,167,0.068,7300,0,241057,8,5,2025-11-30T09:10:02Z
recovery,12,100000,0.279,183,0.096,13300,0,240601,8,5,2025-11-30T09:13:15Z
recovery,12,300000,0.324,208,0.116,20300,0,241209,8,5,2025-11-30T09:15:38Z
recovery,12,1000000,0.258,115,0.143,19300,0,240905,8,5,2025-11-30T09:18:58Z
