mode,partitions,post_cut_events,ttr_s,restore_ms,replay_s,replay_events,inflight,snapshot_bytes,sst_files,inc_files,snapshot_id
recovery-no-parallel,4,50000,1.834,1834,0,0,50000,241642,10,6,2025-11-30T09:55:54Z
recovery-no-parallel,4,100000,1.904,1904,0,0,50000,242098,10,6,2025-11-30T09:56:54Z
recovery-no-parallel,4,300000,1.712,1712,0,0,50000,242554,10,6,2025-11-30T09:57:57Z
recovery-no-parallel,4,1000000,1.729,1729,0,0,50000,241946,10,6,2025-11-30T09:59:02Z
recovery-no-parallel,8,50000,0.8330000000000001,776,0.057,0,50000,242151,9,6,2025-11-30T10:00:03Z
recovery-no-parallel,8,100000,0.238,192,0.046,300,0,241209,8,5,2025-11-30T10:00:56Z
recovery-no-parallel,8,300000,0.28900000000000003,229,0.06,300,0,240905,8,5,2025-11-30T10:03:19Z
recovery-no-parallel,8,1000000,0.23299999999999998,184,0.049,300,0,240753,8,5,2025-11-30T10:05:44Z
recovery-no-parallel,12,50000,0.29400000000000004,201,0.093,17300,0,241209,8,5,2025-11-30T10:08:07Z
recovery-no-parallel,12,100000,0.244,185,0.059,300,0,240753,8,5,2025-11-30T10:10:23Z
recovery-no-parallel,12,300000,0.248,196,0.052,300,0,240753,8,5,2025-11-30T10:12:44Z
recovery-no-parallel,12,1000000,0.312,182,0.13,23300,0,240601,8,5,2025-11-30T10:15:06Z
